airport,carrier,carrier_name,month,airport_name
ABE,9E,Endeavor Air Inc.,8,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
ABY,9E,Endeavor Air Inc.,8,"Albany, GA: Southwest Georgia Regional"
AEX,9E,Endeavor Air Inc.,8,"Alexandria, LA: Alexandria International"
AGS,9E,Endeavor Air Inc.,8,"Augusta, GA: Augusta Regional at Bush Field"
ALB,9E,Endeavor Air Inc.,8,"Albany, NY: Albany International"
ATL,9E,Endeavor Air Inc.,8,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
AUS,9E,Endeavor Air Inc.,8,"Austin, TX: Austin - Bergstrom International"
AVL,9E,Endeavor Air Inc.,8,"Asheville, NC: Asheville Regional"
AZO,9E,Endeavor Air Inc.,8,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
BDL,9E,Endeavor Air Inc.,8,"Hartford, CT: Bradley International"
BGM,9E,Endeavor Air Inc.,8,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field"
BGR,9E,Endeavor Air Inc.,8,"Bangor, ME: Bangor International"
BHM,9E,Endeavor Air Inc.,8,"Birmingham, AL: Birmingham-Shuttlesworth International"
BNA,9E,Endeavor Air Inc.,8,"Nashville, TN: Nashville International"
BQK,9E,Endeavor Air Inc.,8,"Brunswick, GA: Brunswick Golden Isles"
BTV,9E,Endeavor Air Inc.,8,"Burlington, VT: Burlington International"
BUF,9E,Endeavor Air Inc.,8,"Buffalo, NY: Buffalo Niagara International"
BWI,9E,Endeavor Air Inc.,8,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
CAE,9E,Endeavor Air Inc.,8,"Columbia, SC: Columbia Metropolitan"
CHA,9E,Endeavor Air Inc.,8,"Chattanooga, TN: Lovell Field"
CHO,9E,Endeavor Air Inc.,8,"Charlottesville, VA: Charlottesville Albemarle"
CHS,9E,Endeavor Air Inc.,8,"Charleston, SC: Charleston AFB/International"
CLE,9E,Endeavor Air Inc.,8,"Cleveland, OH: Cleveland-Hopkins International"
CLT,9E,Endeavor Air Inc.,8,"Charlotte, NC: Charlotte Douglas International"
CMH,9E,Endeavor Air Inc.,8,"Columbus, OH: John Glenn Columbus International"
CRW,9E,Endeavor Air Inc.,8,"Charleston/Dunbar, WV: West Virginia International Yeager"
CSG,9E,Endeavor Air Inc.,8,"Columbus, GA: Columbus Airport"
CVG,9E,Endeavor Air Inc.,8,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
CWA,9E,Endeavor Air Inc.,8,"Mosinee, WI: Central Wisconsin"
DAY,9E,Endeavor Air Inc.,8,"Dayton, OH: James M Cox/Dayton International"
DCA,9E,Endeavor Air Inc.,8,"Washington, DC: Ronald Reagan Washington National"
DHN,9E,Endeavor Air Inc.,8,"Dothan, AL: Dothan Regional"
DLH,9E,Endeavor Air Inc.,8,"Duluth, MN: Duluth International"
DSM,9E,Endeavor Air Inc.,8,"Des Moines, IA: Des Moines International"
DTW,9E,Endeavor Air Inc.,8,"Detroit, MI: Detroit Metro Wayne County"
EVV,9E,Endeavor Air Inc.,8,"Evansville, IN: Evansville Regional"
EWR,9E,Endeavor Air Inc.,8,"Newark, NJ: Newark Liberty International"
FAR,9E,Endeavor Air Inc.,8,"Fargo, ND: Hector International"
FAY,9E,Endeavor Air Inc.,8,"Fayetteville, NC: Fayetteville Regional/Grannis Field"
FSD,9E,Endeavor Air Inc.,8,"Sioux Falls, SD: Joe Foss Field"
GFK,9E,Endeavor Air Inc.,8,"Grand Forks, ND: Grand Forks International"
GRR,9E,Endeavor Air Inc.,8,"Grand Rapids, MI: Gerald R. Ford International"
GSO,9E,Endeavor Air Inc.,8,"Greensboro/High Point, NC: Piedmont Triad International"
GSP,9E,Endeavor Air Inc.,8,"Greer, SC: Greenville-Spartanburg International"
GTR,9E,Endeavor Air Inc.,8,"Columbus, MS: Golden Triangle Regional"
IAD,9E,Endeavor Air Inc.,8,"Washington, DC: Washington Dulles International"
ILM,9E,Endeavor Air Inc.,8,"Wilmington, NC: Wilmington International"
IND,9E,Endeavor Air Inc.,8,"Indianapolis, IN: Indianapolis International"
ITH,9E,Endeavor Air Inc.,8,"Ithaca/Cortland, NY: Ithaca Tompkins International"
JAX,9E,Endeavor Air Inc.,8,"Jacksonville, FL: Jacksonville International"
JFK,9E,Endeavor Air Inc.,8,"New York, NY: John F. Kennedy International"
LAN,9E,Endeavor Air Inc.,8,"Lansing, MI: Capital Region International"
LEX,9E,Endeavor Air Inc.,8,"Lexington, KY: Blue Grass"
LFT,9E,Endeavor Air Inc.,8,"Lafayette, LA: Lafayette Regional Paul Fournet Field"
LGA,9E,Endeavor Air Inc.,8,"New York, NY: LaGuardia"
LIT,9E,Endeavor Air Inc.,8,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
MBS,9E,Endeavor Air Inc.,8,"Saginaw/Bay City/Midland, MI: MBS International"
MCI,9E,Endeavor Air Inc.,8,"Kansas City, MO: Kansas City International"
MEM,9E,Endeavor Air Inc.,8,"Memphis, TN: Memphis International"
MGM,9E,Endeavor Air Inc.,8,"Montgomery, AL: Montgomery Regional"
MKE,9E,Endeavor Air Inc.,8,"Milwaukee, WI: General Mitchell International"
MLI,9E,Endeavor Air Inc.,8,"Moline, IL: Quad Cities International"
MLU,9E,Endeavor Air Inc.,8,"Monroe, LA: Monroe Regional"
MOB,9E,Endeavor Air Inc.,8,"Mobile, AL: Mobile Regional"
MQT,9E,Endeavor Air Inc.,8,"Marquette, MI: Marquette Sawyer Regional"
MSN,9E,Endeavor Air Inc.,8,"Madison, WI: Dane County Regional-Truax Field"
MSP,9E,Endeavor Air Inc.,8,"Minneapolis, MN: Minneapolis-St Paul International"
MYR,9E,Endeavor Air Inc.,8,"Myrtle Beach, SC: Myrtle Beach International"
OAJ,9E,Endeavor Air Inc.,8,"Jacksonville/Camp Lejeune, NC: Albert J Ellis"
OMA,9E,Endeavor Air Inc.,8,"Omaha, NE: Eppley Airfield"
ORF,9E,Endeavor Air Inc.,8,"Norfolk, VA: Norfolk International"
ORH,9E,Endeavor Air Inc.,8,"Worcester, MA: Worcester Regional"
PIT,9E,Endeavor Air Inc.,8,"Pittsburgh, PA: Pittsburgh International"
PVD,9E,Endeavor Air Inc.,8,"Providence, RI: Rhode Island Tf Green International"
PWM,9E,Endeavor Air Inc.,8,"Portland, ME: Portland International Jetport"
RAP,9E,Endeavor Air Inc.,8,"Rapid City, SD: Rapid City Regional"
RDU,9E,Endeavor Air Inc.,8,"Raleigh/Durham, NC: Raleigh-Durham International"
RIC,9E,Endeavor Air Inc.,8,"Richmond, VA: Richmond International"
ROA,9E,Endeavor Air Inc.,8,"Roanoke, VA: Roanoke Blacksburg Regional"
ROC,9E,Endeavor Air Inc.,8,"Rochester, NY: Frederick Douglass Grtr Rochester International"
RST,9E,Endeavor Air Inc.,8,"Rochester, MN: Rochester International"
SAV,9E,Endeavor Air Inc.,8,"Savannah, GA: Savannah/Hilton Head International"
SDF,9E,Endeavor Air Inc.,8,"Louisville, KY: Louisville Muhammad Ali International"
SHV,9E,Endeavor Air Inc.,8,"Shreveport, LA: Shreveport Regional"
STL,9E,Endeavor Air Inc.,8,"St. Louis, MO: St Louis Lambert International"
SYR,9E,Endeavor Air Inc.,8,"Syracuse, NY: Syracuse Hancock International"
TLH,9E,Endeavor Air Inc.,8,"Tallahassee, FL: Tallahassee International"
TRI,9E,Endeavor Air Inc.,8,"Bristol/Johnson City/Kingsport, TN: Tri Cities"
TVC,9E,Endeavor Air Inc.,8,"Traverse City, MI: Cherry Capital"
TYS,9E,Endeavor Air Inc.,8,"Knoxville, TN: McGhee Tyson"
VLD,9E,Endeavor Air Inc.,8,"Valdosta, GA: Valdosta Regional"
XNA,9E,Endeavor Air Inc.,8,"Fayetteville, AR: Northwest Arkansas National"
ABQ,AA,American Airlines Inc.,8,"Albuquerque, NM: Albuquerque International Sunport"
ALB,AA,American Airlines Inc.,8,"Albany, NY: Albany International"
AMA,AA,American Airlines Inc.,8,"Amarillo, TX: Rick Husband Amarillo International"
ANC,AA,American Airlines Inc.,8,"Anchorage, AK: Ted Stevens Anchorage International"
ATL,AA,American Airlines Inc.,8,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
AUS,AA,American Airlines Inc.,8,"Austin, TX: Austin - Bergstrom International"
AVL,AA,American Airlines Inc.,8,"Asheville, NC: Asheville Regional"
AVP,AA,American Airlines Inc.,8,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
BDL,AA,American Airlines Inc.,8,"Hartford, CT: Bradley International"
BFL,AA,American Airlines Inc.,8,"Bakersfield, CA: Meadows Field"
BGR,AA,American Airlines Inc.,8,"Bangor, ME: Bangor International"
BHM,AA,American Airlines Inc.,8,"Birmingham, AL: Birmingham-Shuttlesworth International"
BNA,AA,American Airlines Inc.,8,"Nashville, TN: Nashville International"
BOI,AA,American Airlines Inc.,8,"Boise, ID: Boise Air Terminal"
BOS,AA,American Airlines Inc.,8,"Boston, MA: Logan International"
BTV,AA,American Airlines Inc.,8,"Burlington, VT: Burlington International"
BUF,AA,American Airlines Inc.,8,"Buffalo, NY: Buffalo Niagara International"
BUR,AA,American Airlines Inc.,8,"Burbank, CA: Bob Hope"
BWI,AA,American Airlines Inc.,8,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
BZN,AA,American Airlines Inc.,8,"Bozeman, MT: Bozeman Yellowstone International"
CAE,AA,American Airlines Inc.,8,"Columbia, SC: Columbia Metropolitan"
CHS,AA,American Airlines Inc.,8,"Charleston, SC: Charleston AFB/International"
CID,AA,American Airlines Inc.,8,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
CLE,AA,American Airlines Inc.,8,"Cleveland, OH: Cleveland-Hopkins International"
CLT,AA,American Airlines Inc.,8,"Charlotte, NC: Charlotte Douglas International"
CMH,AA,American Airlines Inc.,8,"Columbus, OH: John Glenn Columbus International"
COS,AA,American Airlines Inc.,8,"Colorado Springs, CO: City of Colorado Springs Municipal"
CVG,AA,American Airlines Inc.,8,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
DAB,AA,American Airlines Inc.,8,"Daytona Beach, FL: Daytona Beach International"
DCA,AA,American Airlines Inc.,8,"Washington, DC: Ronald Reagan Washington National"
DEN,AA,American Airlines Inc.,8,"Denver, CO: Denver International"
DFW,AA,American Airlines Inc.,8,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
DRO,AA,American Airlines Inc.,8,"Durango, CO: Durango La Plata County"
DSM,AA,American Airlines Inc.,8,"Des Moines, IA: Des Moines International"
DTW,AA,American Airlines Inc.,8,"Detroit, MI: Detroit Metro Wayne County"
ECP,AA,American Airlines Inc.,8,"Panama City, FL: Northwest Florida Beaches International"
EGE,AA,American Airlines Inc.,8,"Eagle, CO: Eagle County Regional"
ELP,AA,American Airlines Inc.,8,"El Paso, TX: El Paso International"
EUG,AA,American Airlines Inc.,8,"Eugene, OR: Mahlon Sweet Field"
EWR,AA,American Airlines Inc.,8,"Newark, NJ: Newark Liberty International"
EYW,AA,American Airlines Inc.,8,"Key West, FL: Key West International"
FAT,AA,American Airlines Inc.,8,"Fresno, CA: Fresno Yosemite International"
FCA,AA,American Airlines Inc.,8,"Kalispell, MT: Glacier Park International"
FLL,AA,American Airlines Inc.,8,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
FSD,AA,American Airlines Inc.,8,"Sioux Falls, SD: Joe Foss Field"
GEG,AA,American Airlines Inc.,8,"Spokane, WA: Spokane International"
GRR,AA,American Airlines Inc.,8,"Grand Rapids, MI: Gerald R. Ford International"
GSO,AA,American Airlines Inc.,8,"Greensboro/High Point, NC: Piedmont Triad International"
GSP,AA,American Airlines Inc.,8,"Greer, SC: Greenville-Spartanburg International"
HNL,AA,American Airlines Inc.,8,"Honolulu, HI: Daniel K Inouye International"
HSV,AA,American Airlines Inc.,8,"Huntsville, AL: Huntsville International-Carl T Jones Field"
IAD,AA,American Airlines Inc.,8,"Washington, DC: Washington Dulles International"
IAH,AA,American Airlines Inc.,8,"Houston, TX: George Bush Intercontinental/Houston"
ICT,AA,American Airlines Inc.,8,"Wichita, KS: Wichita Dwight D Eisenhower National"
ILM,AA,American Airlines Inc.,8,"Wilmington, NC: Wilmington International"
IND,AA,American Airlines Inc.,8,"Indianapolis, IN: Indianapolis International"
JAC,AA,American Airlines Inc.,8,"Jackson, WY: Jackson Hole"
JAX,AA,American Airlines Inc.,8,"Jacksonville, FL: Jacksonville International"
JFK,AA,American Airlines Inc.,8,"New York, NY: John F. Kennedy International"
KOA,AA,American Airlines Inc.,8,"Kona, HI: Ellison Onizuka Kona International at Keahole"
LAS,AA,American Airlines Inc.,8,"Las Vegas, NV: Harry Reid International"
LAX,AA,American Airlines Inc.,8,"Los Angeles, CA: Los Angeles International"
LBB,AA,American Airlines Inc.,8,"Lubbock, TX: Lubbock Preston Smith International"
LEX,AA,American Airlines Inc.,8,"Lexington, KY: Blue Grass"
LGA,AA,American Airlines Inc.,8,"New York, NY: LaGuardia"
LIH,AA,American Airlines Inc.,8,"Lihue, HI: Lihue Airport"
LIT,AA,American Airlines Inc.,8,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
MCI,AA,American Airlines Inc.,8,"Kansas City, MO: Kansas City International"
MCO,AA,American Airlines Inc.,8,"Orlando, FL: Orlando International"
MDT,AA,American Airlines Inc.,8,"Harrisburg, PA: Harrisburg International"
MEM,AA,American Airlines Inc.,8,"Memphis, TN: Memphis International"
MFE,AA,American Airlines Inc.,8,"Mission/McAllen/Edinburg, TX: McAllen International"
MHT,AA,American Airlines Inc.,8,"Manchester, NH: Manchester Boston Regional"
MIA,AA,American Airlines Inc.,8,"Miami, FL: Miami International"
MKE,AA,American Airlines Inc.,8,"Milwaukee, WI: General Mitchell International"
MRY,AA,American Airlines Inc.,8,"Monterey, CA: Monterey Regional"
MSN,AA,American Airlines Inc.,8,"Madison, WI: Dane County Regional-Truax Field"
MSO,AA,American Airlines Inc.,8,"Missoula, MT: Missoula Montana"
MSP,AA,American Airlines Inc.,8,"Minneapolis, MN: Minneapolis-St Paul International"
MSY,AA,American Airlines Inc.,8,"New Orleans, LA: Louis Armstrong New Orleans International"
MTJ,AA,American Airlines Inc.,8,"Montrose/Delta, CO: Montrose Regional"
MYR,AA,American Airlines Inc.,8,"Myrtle Beach, SC: Myrtle Beach International"
OGG,AA,American Airlines Inc.,8,"Kahului, HI: Kahului Airport"
OKC,AA,American Airlines Inc.,8,"Oklahoma City, OK: Will Rogers World"
OMA,AA,American Airlines Inc.,8,"Omaha, NE: Eppley Airfield"
ONT,AA,American Airlines Inc.,8,"Ontario, CA: Ontario International"
ORD,AA,American Airlines Inc.,8,"Chicago, IL: Chicago O'Hare International"
ORF,AA,American Airlines Inc.,8,"Norfolk, VA: Norfolk International"
PBI,AA,American Airlines Inc.,8,"West Palm Beach/Palm Beach, FL: Palm Beach International"
PDX,AA,American Airlines Inc.,8,"Portland, OR: Portland International"
PHL,AA,American Airlines Inc.,8,"Philadelphia, PA: Philadelphia International"
PHX,AA,American Airlines Inc.,8,"Phoenix, AZ: Phoenix Sky Harbor International"
PIT,AA,American Airlines Inc.,8,"Pittsburgh, PA: Pittsburgh International"
PNS,AA,American Airlines Inc.,8,"Pensacola, FL: Pensacola International"
PSP,AA,American Airlines Inc.,8,"Palm Springs, CA: Palm Springs International"
PVD,AA,American Airlines Inc.,8,"Providence, RI: Rhode Island Tf Green International"
PWM,AA,American Airlines Inc.,8,"Portland, ME: Portland International Jetport"
RAP,AA,American Airlines Inc.,8,"Rapid City, SD: Rapid City Regional"
RDU,AA,American Airlines Inc.,8,"Raleigh/Durham, NC: Raleigh-Durham International"
RIC,AA,American Airlines Inc.,8,"Richmond, VA: Richmond International"
RNO,AA,American Airlines Inc.,8,"Reno, NV: Reno/Tahoe International"
ROC,AA,American Airlines Inc.,8,"Rochester, NY: Frederick Douglass Grtr Rochester International"
RSW,AA,American Airlines Inc.,8,"Fort Myers, FL: Southwest Florida International"
SAN,AA,American Airlines Inc.,8,"San Diego, CA: San Diego International"
SAT,AA,American Airlines Inc.,8,"San Antonio, TX: San Antonio International"
SAV,AA,American Airlines Inc.,8,"Savannah, GA: Savannah/Hilton Head International"
SBA,AA,American Airlines Inc.,8,"Santa Barbara, CA: Santa Barbara Municipal"
SBP,AA,American Airlines Inc.,8,"San Luis Obispo, CA: San Luis County Regional"
SDF,AA,American Airlines Inc.,8,"Louisville, KY: Louisville Muhammad Ali International"
SEA,AA,American Airlines Inc.,8,"Seattle, WA: Seattle/Tacoma International"
SFO,AA,American Airlines Inc.,8,"San Francisco, CA: San Francisco International"
SJC,AA,American Airlines Inc.,8,"San Jose, CA: Norman Y. Mineta San Jose International"
SJU,AA,American Airlines Inc.,8,"San Juan, PR: Luis Munoz Marin International"
SLC,AA,American Airlines Inc.,8,"Salt Lake City, UT: Salt Lake City International"
SMF,AA,American Airlines Inc.,8,"Sacramento, CA: Sacramento International"
SNA,AA,American Airlines Inc.,8,"Santa Ana, CA: John Wayne Airport-Orange County"
SRQ,AA,American Airlines Inc.,8,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
STL,AA,American Airlines Inc.,8,"St. Louis, MO: St Louis Lambert International"
STT,AA,American Airlines Inc.,8,"Charlotte Amalie, VI: Cyril E King"
STX,AA,American Airlines Inc.,8,"Christiansted, VI: Henry E. Rohlsen"
SYR,AA,American Airlines Inc.,8,"Syracuse, NY: Syracuse Hancock International"
TPA,AA,American Airlines Inc.,8,"Tampa, FL: Tampa International"
TUL,AA,American Airlines Inc.,8,"Tulsa, OK: Tulsa International"
TUS,AA,American Airlines Inc.,8,"Tucson, AZ: Tucson International"
TVC,AA,American Airlines Inc.,8,"Traverse City, MI: Cherry Capital"
TYS,AA,American Airlines Inc.,8,"Knoxville, TN: McGhee Tyson"
