month,carrier,carrier_name,airport,airport_name
8,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
8,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional"
8,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International"
8,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field"
8,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International"
8,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
8,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International"
8,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional"
8,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
8,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International"
8,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field"
8,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International"
8,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International"
8,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International"
8,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles"
8,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International"
8,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International"
8,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
8,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan"
8,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field"
8,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle"
8,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International"
8,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International"
8,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International"
8,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International"
8,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: West Virginia International Yeager"
8,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport"
8,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
8,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin"
8,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International"
8,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National"
8,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional"
8,9E,Endeavor Air Inc.,DLH,"Duluth, MN: Duluth International"
8,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International"
8,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County"
8,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional"
8,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International"
8,9E,Endeavor Air Inc.,FAR,"Fargo, ND: Hector International"
8,9E,Endeavor Air Inc.,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field"
8,9E,Endeavor Air Inc.,FSD,"Sioux Falls, SD: Joe Foss Field"
8,9E,Endeavor Air Inc.,GFK,"Grand Forks, ND: Grand Forks International"
8,9E,Endeavor Air Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International"
8,9E,Endeavor Air Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International"
8,9E,Endeavor Air Inc.,GSP,"Greer, SC: Greenville-Spartanburg International"
8,9E,Endeavor Air Inc.,GTR,"Columbus, MS: Golden Triangle Regional"
8,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International"
8,9E,Endeavor Air Inc.,ILM,"Wilmington, NC: Wilmington International"
